Oceans,Regions,Latitude,Longitude,Date,Concentration,is_hotspot
Atlantic,South Atlantic,-26.72988069718565,3.815511748336376,2010-01-01 00:00:00.000000000,2.745038683863368,0
Southern,Arctic,48.31831670194817,-11.326168104446593,2010-01-03 13:22:28.874437218,5.393220402419021,0
Indian,North Atlantic,-19.439830205901455,147.53651069954174,2010-01-06 02:44:57.748874437,16.655153052119644,1
Atlantic,Arctic,39.29975084881188,-127.47938565518128,2010-01-08 16:07:26.623311655,5.4779349709290095,0
Pacific,South Atlantic,-31.65997229440038,-16.076320441371735,2010-01-11 05:29:55.497748874,3.217561491212693,0
Pacific,South Indian,56.67614856408602,160.81484941219975,2010-01-13 18:52:24.372186093,18.99779618397929,1
Pacific,Antarctic,41.24524317968354,146.53501572085767,2010-01-16 08:14:53.246623311,28.53391147597245,1
Arctic,South Pacific,-20.854402057330557,93.5681000858283,2010-01-18 21:37:22.121060530,1.5956367553634896,0
Indian,Antarctic,60.61530801420052,-60.24362406447907,2010-01-21 10:59:50.995497748,8.141112593835366,0
Indian,Antarctic,34.01115811081201,-114.15973044347716,2010-01-24 00:22:19.869934967,0.5116223296866038,0
Pacific,South Indian,37.400722978320736,157.08490108958998,2010-01-26 13:44:48.744372186,5.411790062773041,0
Southern,Arctic,35.85550329056646,150.1848473025077,2010-01-29 03:07:17.618809404,48.63941591315143,1
Arctic,South Pacific,35.34471029048025,-137.7441059863496,2010-01-31 16:29:46.493246623,8.10066699507931,0
Pacific,North Pacific,52.6793202978747,6.921627908229988,2010-02-03 05:52:15.367683841,1.85692482071153,0
Pacific,North Indian,-58.49561416181486,-72.14664398932237,2010-02-05 19:14:44.242121060,1.9032204646017647,0
Pacific,South Indian,51.36090726332384,-66.7217332391907,2010-02-08 08:37:13.116558279,2.907704625213033,0
Pacific,South Atlantic,8.24143095165078,-8.233283737554032,2010-02-10 21:59:41.990995497,3.7747106647792226,0
Atlantic,North Pacific,-18.826774136721912,-87.0630596429478,2010-02-13 11:22:10.865432716,1.1131788178300384,0
Atlantic,North Indian,47.76913911580214,-67.34707632102736,2010-02-16 00:44:39.739869934,10.27035323123835,0
Pacific,South Atlantic,36.578133593983914,143.9486214657102,2010-02-18 14:07:08.614307153,12.728844759204549,0
Indian,Antarctic,68.74867584525214,-110.81781604279838,2010-02-21 03:29:37.488744372,5.205897445612022,0
Pacific,North Atlantic,48.301055545052336,-2.1629711930863293,2010-02-23 16:52:06.363181590,57.152357767207974,1
Pacific,South Atlantic,41.51544136513973,-147.2350254412218,2010-02-26 06:14:35.237618809,4.809176866452726,0
Atlantic,South Pacific,42.26885477479259,-128.06574269260753,2010-02-28 19:37:04.112056028,24.601279478157515,1
Atlantic,South Pacific,30.32661829186052,129.09187670372745,2010-03-03 08:59:32.986493246,1.844665667987058,0
Indian,North Atlantic,-5.886070083190237,-84.42028180141841,2010-03-05 22:22:01.860930465,9.973637552684886,0
Pacific,North Pacific,-19.082634406442164,90.35841965110352,2010-03-08 11:44:30.735367683,11.588933539064946,0
Atlantic,North Indian,-25.0497710133808,105.73229142612249,2010-03-11 01:06:59.609804902,3.63062535344662,0
Atlantic,South Atlantic,0.1237273527271354,20.178872740785938,2010-03-13 14:29:28.484242121,8.733989632834875,0
Pacific,South Pacific,37.11110494760472,149.73398859736122,2010-03-16 03:51:57.358679339,3.593892767243234,0
